StatId	DisplayName_en	Description_en	DisplayName_ru	Description_ru	IconName
BOOK_GEN_World_GuideOnHags001	A Brush with Evil: On Hags	Part of a series examining some of Faerûn's more infamous creatures, this exploration on hags remains one of Soot's most popular works.	Встреча со злом: Трактат о каргах	Книга из серии, повествующей о самых зловредных существах Фаэруна. Конкретно этот том, посвященный каргам, стал самой известной работой автора.	Item_BOOK_Wizards_Tome_Simple_B
BOOK_GEN_World_GuideOnHags002	The Evil Eye	If one looks at the eyes etched into this cover long enough, they appear to blink.	Злобное око	Если долго смотреть на глаза, изображенные на обложке, можно заметить, как они моргают.	Item_BOOK_Wizards_Tome_Simple_D
BOOK_GEN_World_GuideOuterCity	Traveller's Guide to the Sword Coast Vol. VIII: The Outer City	An old, poorly-bound volume that's lost half of its yellowed pages.	Путеводитель по Побережью Мечей, ч. III: Внешний город	Старая, распадающаяся на части книга. Половины страниц она уже лишилась.	
BOOK_GEN_World_GuideRisenRoad	Traveller's Guide to the Sword Coast Vol. IV: The Risen Road	An old, cheaply-bound book that's starting to fall to pieces.	Путеводитель по Побережью Мечей, ч. IV: Всхожая дорога	Старая книга в дешевом переплете, разваливающаяся прямо на глазах.	
BOOK_GEN_World_GuideToAvernus	A Guide to Avernus - One Hellish Holiday		Адские каникулы: путеводитель по Аверно		
BOOK_GEN_World_InfernalContractsAndBargains	Infernal Contracts And Bargains		Дьявольские контракты и сделки		Item_BOOK_GEN_Book_Rich_A
BOOK_GEN_World_IntroToTheWeave	Magic of the Weave - An Introduction	A hefty book for beginning spellcasters. Though mostly truthful, the author, clearly a wizard himself, seemed to possess quite a particular bias.	Магия Плетения: Вступление	Настольная книга начинающих заклинателей. Факты в ней изложены достаточно верно, но в тексте слишком уж проглядывает точка зрения автора (явно волшебника).	Item_BOOK_GEN_Book_Rich_C
BOOK_GEN_World_JourneyThroughChult	Journey Through The Jungle	The adventures of one Baron von Barron and his goblin guide Jaw as they brave the thick jungles of Chult.	Путешествие через джунгли	Захватывающие приключения барона фон Баррона и его гоблина-проводника Кусаки в непроходимых джунглях Чульта.	Item_BOOK_GEN_Book_D
BOOK_GEN_World_MatronSpeechDrowTenets	On Educating the Faithful	This slender, tightly-bound manuscript has had the spider engraved on the front of it scratched into oblivion.	Обучение верующих	На обложке этой тонкой, качественно перетянутой книги изображен паук на краю бездны.	Item_BOOK_Wizards_Tome_Ornate_G
BOOK_GEN_World_MetatextResurrection	On Death &amp; Resurrection	A thin and pliable volume, smelling faintly of dust.	О смерти и воскрешении	Тонкий и свободно гнущийся томик, слегка пахнущий пылью.	Item_BOOK_Wizards_Tome_Generic_B
BOOK_GEN_World_MissingStatueNotice	Stolen Property - Reward Offered!	A poster on fine paper, clearly produced by a publisher of some means.	Украдена статуя! Нашедшему – вознаграждение!	Плакат, отпечатанный на хорошей бумаге неким издателем.	Item_BOOK_GEN_Paper_Letter_B
BOOK_GEN_World_OralHistories_LuirenAbeirSpellplague	Oral Histories of Faerûn: The Spellplague	A cracked and well-worn volume, showing passage through many hands.	Устные предания Фаэруна: Чума заклинаний	Эта потрепанная книга в растрескавшейся обложке явно сменила множество хозяев.	Item_BOOK_GEN_Book_E
BOOK_GEN_World_OralHistories_OathbreakerPaladins	Oral Histories of Faerûn: Paladin Oathbreakers	A tattered scrap of cloth bearing an image of a rose marks a chapter in this slim volume.	Устные предания Фаэруна: Паладины-клятвопреступники	Тонкая книжица, одна из страниц которой заложена куском ткани с вышитой розой.	Item_BOOK_GEN_Book_Rich_C
BOOK_GEN_World_SensibleLiving4	Lessons for Sensible Living IV: Cities and How to Survive Them	A slim, cheaply constructed book. The front cover is decorated with an engraving of a grimacing man, smoking a clay pipe.	Наставление тем, кто дружит с головой, ч. IV: Города и как в них выжить	Тонкая, дешевая на вид книга. На обложке изображен человек с перекошенным лицом, курящий трубку.	Item_BOOK_Wizards_Tome_Simple_E
BOOK_GEN_World_TalesOfTheHells	Tales Of The Hells		Истории преисподней		Item_BOOK_GEN_Book_C
CHA_CompassSpear	The Watcher's Guide	Time has dampened this spear's sheen, but the centre glows a faint blue. The magic it exudes feels old, terrible... and divine. The spear was given to its previous owner for his unerring loyalty - even after death.	Путеводная нить хранителя	Блеск металла этого копья потускнел от времени, но в его глубине еще тлеет голубой огонек. Копье источает магию — древнюю, ужасную... божественную. Предыдущий владелец получил его в награду за свою непоколебимую верность — даже после смерти.	Item_S_CHA_Weapon_Spear_CompassSpear
CHA_OutpostJewelry	Silver Pendant	Grime covers this necklace, but you can vaguely discern delicate engravings of a moon and harp.	Серебряная подвеска	Ожерелье все покрыто грязью и сажей, но если приглядеться, можно разобрать изображение луны и арфы.	Item_CHA_OutpostJewelry
CONS_Berry	Raspberry	Full ripe berries that taste tart, and burst at the slightest bite, and stain your fingers.	Малина	Переспелые, терпкие на вкус ягоды. От малейшего укуса лопаются и пачкают пальцы.	Item_GEN_CONS_Raspberry
CONS_DRINK_Beer	Mug of Beer	A malty aroma wafts from this hay-coloured brew.	Кружка пива	От напитка цвета сена распространяется хмельной аромат.	Item_CONS_Drink_Beer_Mug_A
CONS_DRINK_Coffee	Coffee	Dark as tar, this coffee was brewed in the Amnian style - strong, bitter, and with a hint of spice.	Кофе	Черный, как смола, кофе по-амнски: крепкий, горький, со щепоткой специй.	Item_CONS_Drink_Coffee_A
CONS_DRINK_Milk	Milk	Thin and weak, this milk smells - and tastes - of a barn.	Молоко	У этого нежирного молока запах и привкус коровника.	Item_CONS_Drink_Milk_Jug_A
CONS_DRINK_Oil	Cup of Oil	Slick as grease and black as pitch. Likely unsuitable for cooking.	Чашка с маслом	Что-то густое и черное. Вряд ли это предназначено для приготовления пищи.	Item_(ITEM)CONS_GEN_Drink_Cup_Metal_A_Oil
CONS_DRINK_Rum	Whalebone Spiced	Waterdhavian sailors covet voyages to the western isles, as their ships return ballasted by crates of this amber spirit. 	Пряный «Китовый ус»	Моряки Глубоководья любят ходить к западным островам — оттуда корабли возвращаются с трюмами, полными этого золотистого напитка.	Item_CONS_Drink_Rum_B
CONS_DRINK_Tea	Tea	The Turmishan herbs in this honey-coloured tea leave a light warmth on the tongue.	Чай	Чай медового цвета с теплым привкусом турмишанских трав.	Item_CONS_Drink_Tea_A
CONS_DRINK_Water	Jug of Water	Slightly cloudy, but safe to drink.	Кувшин с водой	Мутноватая, но пить можно.	Item_CONS_Drink_Water_Jug_A
CONS_DRINK_Water_Bottle	Water	The Sword Coast's finest well water, bottled for convenience.	Вода	Лучшая питьевая вода на всем Побережье Мечей, разлитая в удобные бутылки.	Item_CONS_Drink_Water_A
CONS_DRINK_Wine_Bottle	Ashaba Dusk	A bit flat, yet charmingly plucky, this Sembian red just might surprise you.	Ашабский закат	Сембианское красное — вкус простой, но подкупающе дерзкий. Это вино может вас приятно удивить.	Item_CONS_Drink_Wine_A
CONS_DRINK_Wine_Bottle_Wicker	Esmeltar Red	Inheriting the worst qualities of its Amnian varietals, this blend is resoundingly hollow.	Эсмелтарское красное	Это безвкусное вино унаследовало худшие качества всех амнских сортов винограда сразу.	Item_CONS_Drink_Wine_A_Wicker
CONS_DRINK_Wine_Rare_BaalorAle	Baalor Ale	Hellishly strong, even sipping a little froth of this ale is enough to make a gelatinous cube disgorge whatever it has jellified, cry a bit, and go home to its wife hoping she'll forgive it. 	Баалорский эль	Адски сильная штука. Одного глотка достаточно, чтобы заставить желатиновый куб выплюнуть то, что он проглотил, немного порыдать и отправиться домой к жене с надеждой, что она его простит. 	Item_CONS_Drink_Valuable_BaalorAle_Bottle_A
CONS_DRINK_Wine_Rare_MarsemberIce	Marsember Ice Wine	As light and cold as the mist hanging like ghostly chandeliers over the canals of Marsember, the wine's nose communicates all the central aspects of its mother city... save perhaps the mounds of dead monkfish.	Марсемберское ледяное вино	Букет этого вина, легкого и холодного, словно призрачные свечи над каналами Марсембера, передает все оттенки запахов этого славного города... кроме разве что гор тухлой рыбы.	Item_CONS_Drink_Valuable_Marsember_Ice_Wine
CONS_Drink_Valuable_Arabellan_Dry	Arabellan Dry	Someone identifying themselves as Captain Trombone has scratched a drawing on the bottle's bottom. The drawing shows a sad pig eating a bacon sandwich, and bears the words, 'Rise up!'	Арабелльский джин	Некто, назвавшийся «капитаном Тромбоном», нацарапал на дне бутылки рисунок. На нем изображен грустный свин, поедающий сэндвич с беконом, и надпись «Подъем!».	Item_CONS_Drink_Wine_Bottle_A
CONS_Drink_Wine_B	Arkhen's Hoard	Expect strong jammy notes and the faintest hint of tobacco from this middling Sembian blend.	Клад Архена	Сембианское среднего качества — легкий сладковатый вкус с едва уловимыми табачными оттенками.	Items_CONS_Drink_Wine_B
CONS_Drink_Wine_B_Wicker	Syl-Pashan Sup	This Calishite red hits the tongue like a wild bull - big, meaty, and loud.	Сил-пашанский сап	Калимшанское красное — это как удар в челюсть; аж в голове звенит.	Item_CONS_Drink_Wine_A_Wicker
CONS_Drink_Wine_Bottle_A	Ithbank	Its Tethyrian vintner layers elegant and expressive flavour like a bard's melody.	Итбанк	Тетирский винодел сложил из разных вкусовых нот мелодию, достойную барда.	Item_CONS_Drink_Wine_Bottle_A
CONS_Drink_Wine_C	Gulthmeran Reserve	Best left to truly discerning palettes, this wine may be too austere for its own good.	Гультмерское выдержанное	Об этом вине пусть лучше судят знатоки, но оно все-таки слишком терпкое на вкус.	Items_CONS_Drink_Wine_C
CONS_Drink_Wine_C_Wicker	Purple Dragon Blush	Crisp, refined, and complex, this is an exemplary Cormyrian vintage.	Румянец пурпурного дракона	Отличное кормирское вино. Освежающий, тонкий вкус со сложным букетом.	Item_CONS_Drink_Wine_C_Wicker
CONS_Drink_Wine_D	Rosymorn Firewine	The colour of this wine is inviting, but don't be fooled - it's harsh on the nose and flabby on the palate.	Розиморнская огневуха	Цвет этого вина радует глаз, но другие органы чувств оно вряд ли порадует — у напитка резкий запах и невыразительный вкус.	Items_CONS_Drink_Wine_D
CONS_Drink_Wine_D_Wicker	Eigersstor Noblerot	Close your eyes and you can almost taste Neverwinter - earthy, chewy, ever-so-slightly green. 	Эйгерсторская благогниль	Закройте глаза и ощутите вкус Невервинтера — землистый, густой, слегка недозрелый.	Item_CONS_Drink_Wine_C_Wicker
CONS_Drink_Wine_E	Baldur's Grape	Worthy of a Grand Duke, this Baldurian red is velvety and powerful with a delightfully tart finish.	Лоза Балдура	Балдурское красное, достойное даже великого герцога — бархатистое, крепкое, с приятным терпким привкусом.	Items_CONS_Drink_Wine_B
CONS_Drink_Wine_E_Wicker	Plum Fizz	Headstrong on first taste, this underwhelming blend limps by the final sip.	Сливовая шипучка	Дешевое крепкое пойло с резким вкусом; даже не хочется допивать до дна.	Item_CONS_Drink_Wine_E_Wicker
CONS_Drink_Wine_F	Blackstaff	Big, bright, and unbalanced, this red is Waterdeep in a bottle.	Черный посох	Крепкое, яркое, неравномерное. Это красное вино — словно Глубоководье в бутылке.	Items_CONS_Drink_Wine_F
CONS_Drink_Wine_F_Wicker	Barrel-Aged Callidyrran	Firm, oaky, and spicy, as is to be expected from its respected elven vintner.	Выдержанное в бочке каллидирское	Крепкое вино с пряным букетом и дубовыми оттенками. Достойное творение эльфийских виноделов.	Item_CONS_Drink_Wine_F_Wicker
CONS_Drink_Wine_G	Farsea Marshwine	Bitter and sopping-wet, this Cormyrian red tastes as if it's been thrown overboard.	Заморское болотное вино	Горькое и водянистое кормирское красное вино. Вкус такой, будто бутылка долго плавала в море.	Item_CONS_Drink_Wine_G
CONS_Drink_Wine_H	Wine	This Luskan blend is at war with itself - sharp, heavy, and shockingly dirty.	Вино	Это лусканское вино какое-то противоречивое: острое, густое, но очень мутное.	Item_CONS_Drink_Wine_A
CONS_Drink_Wine_I	Wine	This Turmishan wine is fine on its own, but too full to pair with even the lightest snack.	Вино	Это плотное турмишанское вино хорошо само по себе, но даже с самой легкой закуской оно плохо сочетается.	Item_CONS_Drink_Wine_I
CONS_Drink_Wine_Pitcher_A	Carafe of Wine	This table wine smells strongly of vinegar, but it's still reasonably drinkable.	Графин с вином	Столовое вино с резким запахом уксуса, но еще вполне пригодное к употреблению.	Items_CONS_Drink_Wine_Pitcher_A
CONS_Drink_Wine_Pitcher_B	Carafe of Wine	A wine of dubious vintage and copious volume.	Графин с вином	Вино сомнительного качества, зато в большом количестве.	Items_CONS_Drink_Wine_D
CONS_Drink_Wine_Pitcher_C	Carafe of Wine	A Cormyrian specialty often enjoyed alongside meals.	Графин с вином	Это кормирское вино хорошо сочетается с любыми блюдами.	Items_CONS_Drink_Wine_D
CONS_Drink_Wine_Pitcher_D	Carafe of Wine	Northerners cherish this mulled wine for its spice and warmth, not to mention its strength.	Графин с вином	Северяне уважают подогретое вино с пряностями за вкус и аромат. Ну и за крепость, конечно.	Item_CONS_Drink_Wine_Pitcher_D
CONS_FOOD_BluecapMushroom	Bluecap	While bland and tasteless, bluecap spores are your best bet at finding something edible in the Underdark.	Синешляпник	Жевать споры синешляпника – то еще удовольствие, но другой доступной еды в Подземье все равно не сыщешь.	Item_LOOT_Alchemy_Mushroom_Air_A
CONS_FOOD_Bread_Bagel	Puff Pastry Braid	A substantial raisin-packed pastry, braided in a style popularised by the halfling chef of the Elfsong Tavern in Baldur's Gate.	Плетенка из слоеного теста	"Плетенка" с начинкой из персиков и сливок по знаменитому рецепту повара-полурослика из таверны "Эльфийская песнь" во Вратах Балдура.	Item_CONS_GEN_Food_Pastry_Bread_Braided_A
CONS_FOOD_Bread_Baguette	Baguette	A long and hearty loaf, good for sopping up soup or sour cream.	Багет	Большая, длинная булка. Очень вкусно, если макать в супчик или сметану.	Item_CONS_GEN_Food_Bread_Baguette_A
CONS_FOOD_Bread_Bun	Butter Bun	Baked up a dozen at a time in warm ovens throughout the heartlands.	Сдобная булочка	Такие булочки пекут десятками за один раз во всех печах по всей стране.	Item_CONS_GEN_Food_Bread_Bun_A
CONS_FOOD_Bread_Loaf	White Bread	Crusty on the outside and soft on the inside, this bread fills your mouth with a rich, slightly sweet taste.	Белый хлеб	Хлеб с нежным мякишем и хрустящей корочкой. Очень вкусный, слегка сладковатый.	Item_CONS_GEN_Food_Bread_Loaf_A
CONS_FOOD_Cheese	Beregost Blue Wheel	The monks of Candlekeep covet wheels of this tangy cheese from nearby Beregost almost as much as they covet knowledge.	Круг берегостского сыра	Монахи из Свечной Цитадели обожают этот сыр с голубой плесенью из соседнего Берегоста так же сильно, как и знания.	Item_CONS_GEN_Food_Cheese_Piece_A
CONS_FOOD_Cheese_Piece	Waterdhavian Cheese Wedge	Popular among travellers for its robust and sharp flavour, to say nothing of its peculiarly long shelf life.	Ломоть сыра из Глубоководья	Из-за острого, яркого вкуса и исключительно долгого срока хранения пользуется большим успехом у путешественников.	Item_CONS_GEN_Food_Cheese_Piece_A
CONS_FOOD_Dinner	Hearty Dinner	A traditional meal: potato, vegetables, and two different meats.	Сытный обед	Традиционное меню: картофель, овощи и два вида мяса.	Item_CONS_GEN_Food_Dinner_A
CONS_FOOD_Egg	Chicken Egg	Fried, boiled, poached: everyone has a favoured method of cooking an egg. The chicken rarely has any say in the matter.	Куриное яйцо	Жареное, крутое, всмятку — яйцо можно приготовить по-разному. Мнения курицы при этом никто не спрашивает.	Item_CONS_GEN_Food_Egg_A
CONS_FOOD_Egg_Rotten	Rotten Chicken Eggs	The choking stench of sulphur wafts from these slimy green eggs.	Тухлые куриные яйца	От этих скользких зеленых яиц бьет в нос резкий запах серы.	Item_CONS_GEN_Food_Eggs_A_Rotten
CONS_FOOD_Egg_WildBird	Charming Little Egg	Round and speckled, there's something appreciably cheerful about an egg. Even the word itself, 'egg.' How frolicsome.	Милое маленькое яйцо	Есть что-то особенно милое в облике этого круглого крапчатого яйца. Можно даже сказать – яичка. Так мило!	
CONS_FOOD_Fish	Fish		Рыба		Item_CONS_GEN_Food_Fish_A
CONS_FOOD_Fish_Big	Fish	Out of the corner of your eye, you think you see a fin twitch slightly.	Рыба	Боковым зрением вы видите, что плавник немного подергивается.	Item_DEC_HAR_Fish_Big_A
CONS_FOOD_Fish_Big_Headface	Fish Head	Commonly used in stocks or grilled for the succulent bits of the cheeks, throat, and eyes.	Голова рыбы	Можно сварить бульон, а можно пожарить на гриле и лакомиться сочными щечками.	Item_DEC_HAR_Fish_Big_A_Headface_A
CONS_FOOD_Fish_Big_Headless	Headless Fish	Tiny fish bones stick out from the cut tail.	Безголовая рыба	На срезе видны тонкие рыбьи кости.	Item_DEC_HAR_Fish_Big_A_Headless_A
CONS_FOOD_Fish_Rotten_A	Rotten Fish	A layer of putrid slime covers this fish's scales.	Тухлая рыба	Вонючая слизь покрывает чешую рыбы.	Item_CONS_FOOD_Fish_Rotten_A
CONS_FOOD_Fish_Rotten_B	Rotten Fish	A rancid smell radiates from this fish, invading your nostrils and throat, even from a distance.	Тухлая рыба	От рыбы исходит тошнотворный запах, проникающий глубоко в нос и горло даже издалека.	Item_CONS_FOOD_Fish_Rotten_B
CONS_FOOD_Fish_Rotten_C	Rotten Fish	A piece of discoloured fish, half-eaten by maggots.	Тухлая рыба	Кусок побледневшей плоти, полусъеденной опарышами.	Item_CONS_FOOD_Fish_Rotten_C
CONS_FOOD_Fish_Rotten_D	Rotten Fish	An overpowering stench suffuses everything this fish touches.	Тухлая рыба	Сильная вонь передается от этой рыбы всему, что ее коснется.	Item_CONS_FOOD_Fish_Rotten_D
CONS_FOOD_Fish_Small_A	Fish	Silver light reflects brightly off of its dead scales.	Рыба	Неподвижная гладкая чешуя на свету отливает серебром.	Item_DEC_HAR_Fish_Small_A
CONS_FOOD_Fish_Small_B	Fish	Tiny, sharp teeth line the jaw of this dead fish.	Рыба	Челюсти этой мертвой рыбины усеяны мелкими острыми зубами.	Item_DEC_HAR_Fish_Small_B
CONS_FOOD_Fish_Small_C	Fish	Its bulging eye seems to stare at you with a dark loathing.	Рыба	Выпученный глаз, кажется, глядит на вас с нескрываемой ненавистью.	Item_DEC_HAR_Fish_Small_C
CONS_FOOD_Fish_Small_D	Fish	A thin, slimy layer has formed over its moist scales.	Рыба	Влажная чешуя покрыта тонким слоем слизи.	Item_DEC_HAR_Fish_Small_D
CONS_FOOD_Fish_Small_E	Fish	Fresh from the River Chionthar and nearly odourless.	Рыба	Рыба из реки Чионтар. Свежая и практически без запаха.	Item_DEC_HAR_Fish_Small_E
CONS_FOOD_Fries	Potato Wedges	Fried, not baked, if the faint aroma of pork fat is any indication.	Жареный картофель	Жареный, а не вареный, с легким ароматом свиного жира.	Item_CONS_GEN_Food_Fries_A
CONS_FOOD_Fruit_Apple_Eaten	Half-Eaten Apple	Though quite a bit of flesh remains on this apple, it is steadily turning a murky brown.	Недоеденное яблоко	Это яблоко не доедено, но его мякоть уже потемнела.	Item_CONS_FOOD_Fruit_Apple_Eaten_A
CONS_FOOD_Fruit_Banana_A_Rotten	Rotten Banana	Little is left of this banana but patches of brown skin and mush.	Сгнивший банан	От банана осталась только коричневая шкурка и нежная кашица.	Item_CONS_FOOD_Fruit_Banana_A_Rotten
CONS_FOOD_Fruit_Goodberry	Goodberry	Plump and juicy, this berry exudes a soothing, sweet smell.	Вкусные ягоды	Сочные, крупные ягоды, источающие сладковатый успокаивающий аромат.	Item_UNI_CONS_Goodberry
CONS_FOOD_Fruit_Grapes_Green	Green Grapes	Grapes for the table - not for wine - plucked from vines unknown.	Зеленый виноград	Столовый виноград неизвестного сорта.	Item_CONS_FOOD_Fruit_Grapes_A_Green_A
CONS_FOOD_Fruit_Grapes_Purple	Purple Grapes	Grapes for the table - not for wine - plucked from vines unknown.	Пурпурный виноград	Столовый виноград неизвестного сорта.	Item_CONS_FOOD_Fruit_Grapes_A_Purple_A
CONS_FOOD_Fruit_Kiwi	Kiwi	From Snowdown's north coast: an uncommonly furry fruit of uncommonly exquisite taste.	Киви	Фрукт с заснеженных северных берегов — непривычно пушистый и необычайно вкусный.	Items_CONS_FOOD_Fruit_Kiwi_A
CONS_FOOD_Fruit_Lemon	Lemon	Yellow as the summer sun; fresh as Neverwinter air; and sour as a high elf's scowl.	Лимон	Желтый, как летнее солнце; свежий, как воздух Невервинтера; кислый, как гримаса высшего эльфа.	Item_CONS_FOOD_Fruit_Lemon_A
CONS_FOOD_Fruit_Lemon_A_Rotten	Rotten Lemon	This shrivelled lemon is covered almost entirely in white and green mould.	Гнилой лимон	Высохший лимон весь покрыт белой и зеленой плесенью.	Item_CONS_FOOD_Fruit_Lemon_A_Rotten
CONS_FOOD_Fruit_Melon	Sunmelon	Sunmelon vines sprawl across gardens from the Chionthar to the Delimbiyr. The fruit is served fresh, pickled, or jellied.	Солнцедыня	Усеянные золотистыми плодами плети солнцедыни встречаются на огородах от Чионтара до самого Делимбира. Этот фрукт употребляют в пищу в сыром и маринованном виде или делают из него желе.	Item_CONS_FOOD_Fruit_Melon_Full_A
CONS_FOOD_Fruit_Melon_Half	Sunmelon Half	Sunmelon vines sprawl across gardens from the Chionthar to the Delimbiyr. The fruit is served fresh, pickled, or jellied.	Половина солнцедыни	Усеянные золотистыми плодами плети солнцедыни встречаются на огородах от Чионтара до самого Делимбира. Этот фрукт употребляют в пищу в сыром и маринованном виде или делают из него желе.	Item_CONS_FOOD_Fruit_Melon_Half_A
CONS_FOOD_Fruit_Melon_Piece	Sunmelon Piece	Sunmelon vines sprawl across gardens from the Chionthar to the Delimbiyr. The fruit is served fresh, pickled, or jellied.	Кусок солнцедыни	Усеянные золотистыми плодами плети солнцедыни встречаются на огородах от Чионтара до самого Делимбира. Этот фрукт употребляют в пищу в сыром и маринованном виде или делают из него желе.	Item_CONS_FOOD_Fruit_Melon_Half_A
CONS_FOOD_Fruit_Orange	Orange	A colourful citrus favourite grown in the south of the Sword Coast.	Апельсин	Этот яркий цитрус произрастает к югу от Побережья Мечей.	Item_CONS_FOOD_Fruit_Orange_A
CONS_FOOD_Fruit_Pear	Pear	Properly ripened, the sugary pear has few culinary rivals. Unripe, it contains all the appeal of a rothé's unwashed hide.	Груша	Спелая груша обладает неповторимым вкусом. У недозрелого же фрукта присутствует привкус грязной шкуры ротэ.	Item_CONS_FOOD_Fruit_Pear_A
CONS_FOOD_FungusSalad	Fragrant Fungus Stew	A popular duergar dish. And why not? Its ingredients are common, and its flavour as bright as the glowcaps that comprise it.	Ароматный грибной салат	Распространенное двергарское блюдо. А что такого? Его делают из самых обычных ингредиентов, а вкус получается яркий, как у светошляпников, входящих в рецепт.	Item_CONS_GEN_Food_Stew_B
CONS_FOOD_GlowcapMushroom	Glowcap Mushroom	The glowcap is an Underdark traveller's boon, both lighting the way and dazzling the tongue.	Светошляпник	Светошляпник — настоящий дар путнику, оказавшемуся в Подземье. Он освещает путь и утоляет голод.	Item_CONS_GEN_Food_GlowcapMushroom_A
CONS_FOOD_GoatMeat	Chevon	A simple cut of goat's meat, grilled over a campfire and peppered with roadside herbs.	Козлятина	Простой кусок козлятины, зажаренный над костром и приправленный попавшимися под руку травами.	Item_CONS_GEN_Food_GoatMeat_A
CONS_FOOD_MashedPotato	Mashed Potatoes	Creamy and smooth, with a note of black pepper and nutmeg.	Картофельное пюре	Нежное, мягкое блюдо с привкусом черного перца и мускатного ореха.	Item_CONS_GEN_Food_MashedPotato_A
CONS_FOOD_MashedPotato_Spill	Spilled Mashed Potatoes	Bits of grass and dirt adorn this pitiful scoop of mashed potatoes.	Рассыпанное картофельное пюре	Жалкая кучка давленого картофеля, посыпанная стеблями травы вперемешку с грязью.	Item_CONS_GEN_Food_MashedPotato_A_Spill
CONS_FOOD_Paella	Baldurian Seafood Stew	A signature dish of the bustling harbour city, this stew is fragrant with garlic, fried tomato paste, and the day's catch. Best enjoyed with a hunk of crusty bread lashed with butter.	Балдурская похлебка из морепродуктов	Это коронное блюдо главного портового города Побережья Мечей аппетитно благоухает чесноком, жареными томатами и рыбой из сегодняшнего улова. Лучше всего подавать с горячими тостами с маслом.	Item_CONS_GEN_Food_Bowl_Soup_Shrimp_A
CONS_FOOD_PaleMint	Pale Mint	From the scorched sands of the Calim desert rises this rare, culinary jewel. Once dried and crushed, its lemony sweetness graces only the rarest gourmet dishes.	Бледная мята	Этот драгоценный ингредиент произрастает на раскаленных солончаках и песках Калимской пустыни. Собранные растения сладковато-лимонного вкуса сушат и измельчают, после чего добавляют в самые изысканные блюда.	Item_CONS_GEN_Food_PaleMint_A
CONS_FOOD_Pastry_Roll	Cinnamon Roll	Dusted with cinnamon and doused in vanilla icing, this treat's aroma is almost as delicious as its taste.	Булочка с корицей	Большой слоеный пирог, покрытый ванильной глазурью и обсыпанный корицей. Пахнет божественно.	Item_CONS_GEN_Food_Pastry_Roll_A
CONS_FOOD_Pastry_Tart	Berry Tart	A thick, sugary jam fills every nook and cranny between this tart's buttery crust and fresh berry topping.	Пирог с ягодами	Ягод и густого, сладкого джема на начинку не пожалели.	Item_CONS_GEN_Food_Pastrie_Tart_A
CONS_FOOD_PezhKuresh	Chelo Khoresh	A feast dish, stewed from the moment dawn breaks until night swallows the sun. Favoured among Calimshite sultans - and their would-be poisoners.	Рисовый хореш	Праздничное блюдо, которое начинают готовить с первыми лучами солнца и заканчивают на закате. Любимое угощение калимшанских султанов и их будущих отравителей.	Item_CONS_GEN_Food_Stew_A
CONS_FOOD_Pie_Salmon	Salmon Pie	The fluffy crust emits a cloud of delectable-smelling steam when broken open.	Пирог с лососем	Если его разломать пополам, от горячей начинки пойдет ароматный пар.	Item_CONS_Food_SalmonPie_A
CONS_FOOD_Pizza	Pizza	Sprinkled with sausage and no fewer than three different cheeses.	Пицца	С колбасой и как минимум тремя видами сыра.	Item_CONS_GEN_Food_Pizza_A
CONS_FOOD_Porridge_Fruits	Fruit Porridge	This chunky porridge tastes overwhelmingly of bananas.	Фруктовая каша	Как ни странно, у этой комковатой каши вкус бананов.	Item_CONS_GEN_Food_Porridge_A_Fruits
CONS_FOOD_Porridge_Potatoes	Potato Porridge	The only limit to a potato recipe is the cook's imagination.	Картофельная каша	Количество блюд из картофеля ограничено лишь фантазией повара.	Item_CONS_GEN_Food_Porridge_A_Potatoes
CONS_FOOD_Poutine	Poutine	Fries, cheese, and gravy. A perfectly balanced meal.	Жареный картофель с сыром	Жаркое, сыр и подливка. Вкусно и питательно.	Item_CONS_GEN_Food_Poutine_A
CONS_FOOD_Ration	Stale Bread	Slightly leathery and starting to dry out, but better than an empty stomach.	Несвежий хлеб	Подсохший и жуется чуть лучше подошвы, но на пустой желудок – и то хлеб.	Item_CONS_GEN_Food_Ration_A
CONS_FOOD_RoastedPig	Roast Pork	So succulent it peels off the bone with only the slightest touch.	Жареная свинина	Мясо такое сочное, что отделяется от кости буквально при первом же прикосновении.	Item_CONS_Food_Roasted_Pig_A
CONS_FOOD_Sausage	Dried Pork Sausage	Infused with copious amounts of garlic and cooked in mulled wine.	Вяленая свиная колбаса	Эта колбаса обильно сдобрена чесноком и сварена в вине с пряностями.	Item_CONS_GEN_Food_Meat_Sausage_A_Individual_A
CONS_FOOD_Sausage_B	Dried Rope Sausage	Infused with copious amounts of garlic and cooked in mulled wine.	Вяленая колбаса	Эта колбаса обильно сдобрена чесноком и сварена в вине с пряностями.	Item_CONS_GEN_Food_Meat_Sausage_A_Individual_B
CONS_FOOD_Sausage_C	Dried Beef Sausage	Just a little chewy.	Вяленая говяжья колбаса	Немного жестковата.	Item_CONS_GEN_Food_Meat_Sausage_C
CONS_FOOD_Sausage_D	Spicy Pork Sausage	Hard, fatty, and filled with the tangiest spices found in the port of Baldur's Gate.	Острая свиная колбаса	Плотная, жирная колбаса, обильно сдобренная всеми специями, какие только можно отыскать в порту Врат Балдура.	Item_CONS_GEN_Food_Meat_Sausage_B_Individual_A
