EntryName	Type	DisplayName_en	Description_en	DisplayName_ru	Description_ru
EXHAUSTED	StatusData	Exhausted	Drained and weakened by intense events of a lack of rest.	Утомление	Нехватка отдыха и напряженные события вызвали утомление и лишили сил.
EXPEDITIOUS_RETREAT	StatusData	Expeditious Retreat	&lt;LSTag Type="Spell" Tooltip="Shout_Dash"&gt;Dash&lt;/LSTag&gt; available as a bonus action.	Поспешное отступление	В качестве бонусного действия доступен &lt;LSTag Type="Spell" Tooltip="Shout_Dash"&gt;рывок&lt;/LSTag&gt;.
EXPLODE	StatusData	Explode		Взрыв	
EXPLOSIVE_RUNES	StatusData	Glyph of Warding	This arcane glyph will trigger a specific magical effect when stepped upon by an enemy.	Сторожевая печать	Если враг наступит на эту колдовскую печать, сработает тот или иной магический эффект.
EXPOSING_BITE	StatusData	Exposing Bite	Creature is distracted. The next attack against the creature from within [1] is guaranteed to be a &lt;LSTag Tooltip="CriticalHit"&gt;Critical Hit&lt;/LSTag&gt;.	Отвлекающий укус	Существо отвлеклось. Следующая атака против него, произведенная в пределах [1], гарантированно нанесет &lt;LSTag Tooltip="CriticalHit"&gt;критический удар&lt;/LSTag&gt;.
EXTRA_ATTACK	StatusData	Extra Attack	Make an additional weapon attack this turn.	Дополнительная атака	Дает дополнительную атаку оружием каждый ход.
EXTRA_ATTACK_Q	StatusData	%%% EMPTY			
FAERIE_FIRE	StatusData	Faerie Fire	Shedding dim light. Incoming attacks have &lt;LSTag Tooltip="Advantage"&gt;Advantage&lt;/LSTag&gt;. Cannot be Invisible.	Фейское сияние	Испускает тусклый свет. Входящие атаки получают &lt;LSTag Tooltip="Advantage"&gt;преимущество&lt;/LSTag&gt;. Не может быть невидимым.
FALSE_LIFE	StatusData	False Life	Gained [1] &lt;LSTag Tooltip="TemporaryHitPoints"&gt;temporary hit points&lt;/LSTag&gt;.	Ложная жизнь	Получено [1] &lt;LSTag Tooltip="TemporaryHitPoints"&gt;временных ОЗ&lt;/LSTag&gt;.
FEARED	StatusData	Fearful	Affected entity has &lt;LSTag Tooltip="Disadvantage"&gt;Disadvantage&lt;/LSTag&gt; on &lt;LSTag Tooltip="AbilityCheck"&gt;Ability Checks&lt;/LSTag&gt; and &lt;LSTag Tooltip="AttackRoll"&gt;Attack Rolls&lt;/LSTag&gt;. It must run from the source of its fear, and can't take any additional actions.	Испуг	Существо получает &lt;LSTag Tooltip="Disadvantage"&gt;помеху&lt;/LSTag&gt; к &lt;LSTag Tooltip="AbilityCheck"&gt;проверкам характеристик&lt;/LSTag&gt; и &lt;LSTag Tooltip="AttackRoll"&gt;броскам атаки&lt;/LSTag&gt;. Существо вынуждено бежать прочь от источника страха и не может совершать дополнительных действий.
FEATHER_FALL	StatusData	Feather Fall	Rate of descent is slowed, granting &lt;LSTag Tooltip="Immune"&gt;Immunity&lt;/LSTag&gt; to Falling damage.	Плавное падение	Замедляет падение, даруя &lt;LSTag Tooltip="Immune"&gt;невосприимчивость&lt;/LSTag&gt; к урону от падения.
FEIGN_DEATH	StatusData	Feigning Death	Has sunk into a magical coma deep enough to imitate death.&lt;br&gt;&lt;br&gt;&lt;LSTag Tooltip="Resistant"&gt;Resistant&lt;/LSTag&gt; to all damage except Psychic damage, and disease and poison no longer have any effect.&lt;br&gt;&lt;br&gt;Removed when &lt;LSTag Type="Spell" Tooltip="Target_Help"&gt;Helped&lt;/LSTag&gt;.	Имитация смерти	Персонаж погрузился в магическую кому достаточно глубоко, чтобы имитировать смерть.&lt;br&gt;&lt;br&gt;&lt;LSTag Tooltip="Resistant"&gt;Устойчивость&lt;/LSTag&gt; к любому урону, кроме психического, а болезни и яд больше не действуют.&lt;br&gt;&lt;br&gt;Эффект снимается, если оказать &lt;LSTag Type="Spell" Tooltip="Target_Help"&gt;помощь&lt;/LSTag&gt;.
FIGHTING_STYLE_PROTECTION	StatusData	Fighting Style: Protection	Protected by a nearby ally. The next &lt;LSTag Tooltip="AttackRoll"&gt;Attack Roll&lt;/LSTag&gt; against you has &lt;LSTag Tooltip="Disadvantage"&gt;Disadvantage&lt;/LSTag&gt;.	Боевой стиль: охрана	Вы находитесь под защитой находящегося поблизости союзника. Следующий &lt;LSTag Tooltip="AttackRoll"&gt;бросок атаки&lt;/LSTag&gt; против вас получит &lt;LSTag Tooltip="Disadvantage"&gt;помеху&lt;/LSTag&gt;.
FIGHTING_STYLE_PROTECTION_AURA	StatusData	Fighting Style: Protection	Protecting nearby allies with their shield, imposing &lt;LSTag Tooltip="Disadvantage"&gt;Disadvantage&lt;/LSTag&gt; on &lt;LSTag Tooltip="AttackRoll"&gt;Attack Rolls&lt;/LSTag&gt; against those allies.	Боевой стиль: охрана	Защищает находящихся поблизости союзников щитом, так что у &lt;LSTag Tooltip="AttackRoll"&gt;бросков атаки&lt;/LSTag&gt; против них будет &lt;LSTag Tooltip="Disadvantage"&gt;помеха&lt;/LSTag&gt;.
FIGHTING_STYLE_PROTECTION_TOGGLE	StatusData	Fighting Style: Protection	Protecting nearby allies with their shield, imposing &lt;LSTag Tooltip="Disadvantage"&gt;Disadvantage&lt;/LSTag&gt; on &lt;LSTag Tooltip="AttackRoll"&gt;Attack Rolls&lt;/LSTag&gt; against those allies.	Боевой стиль: охрана	Защищает находящихся поблизости союзников щитом, так что у &lt;LSTag Tooltip="AttackRoll"&gt;бросков атаки&lt;/LSTag&gt; против них будет &lt;LSTag Tooltip="Disadvantage"&gt;помеха&lt;/LSTag&gt;.
FIRST_ATTACK_TURN	StatusData	%%% EMPTY			
FLAME_BLADE	StatusData	Flame Blade	This blade deals [1]. It sheds bright light in a [2] radius and dim light in a [3] radius. &lt;LSTag Tooltip="AttackRoll"&gt;Attack Rolls&lt;/LSTag&gt; use the wielder's &lt;LSTag Tooltip="SpellcastingAbilityModifier"&gt;Spellcasting Ability Modifier&lt;/LSTag&gt;.	Огненный клинок	Клинок наносит [1]. Он излучает яркий свет в радиусе [2] и тусклый свет в радиусе [3]. &lt;LSTag Tooltip="AttackRoll"&gt;Броски атаки&lt;/LSTag&gt; владельца будут рассчитываться, исходя из его &lt;LSTag Tooltip="SpellcastingAbilityModifier"&gt;модификатора заклинательной способности&lt;/LSTag&gt;.
FLAMING_SPHERE	StatusData	Flaming Aura	Creature is standing within [1] of a flaming sphere and will take [2] at the end of its turn. On a successful save, it will still take half damage.	Огненная аура	Существо находится в пределах [1] от пылающей сферы и в конце хода получит [2]. При успешном испытании все равно получит половину урона.
FLAMING_SPHERE_AURA	StatusData	Flaming Sphere	Enemies and objects within [2] of the sphere at the end of their turn take [1]. On a successful save, they still take half damage.	Пылающая сфера	Противники и объекты, на момент окончания хода оказавшиеся в пределах [2] от сферы, получают [1] (при успешном испытании – половину этого урона).
FLAMING_SPHERE_BLOCK	StatusData	Immobile	The flaming sphere cannot move unless it uses its caster's bonus action.	Неподвижность	Пылающая сфера может двигаться за счет бонусного действия заклинателя.
FLAMING_SPHERE_TECHNICAL	StatusData	%%% EMPTY			
FLAMING_SPHERE_TECHNICAL_3	StatusData	%%% EMPTY			
FLANKED	StatusData	Threatened	An enemy is close. Has &lt;LSTag Tooltip="Disadvantage"&gt;Disadvantage&lt;/LSTag&gt; on ranged &lt;LSTag Tooltip="AttackRoll"&gt;Attack Rolls&lt;/LSTag&gt;.	Под угрозой	Рядом находится враг. &lt;LSTag Tooltip="Disadvantage"&gt;Помеха&lt;/LSTag&gt; при дистанционных &lt;LSTag Tooltip="AttackRoll"&gt;бросках атаки&lt;/LSTag&gt;.
FLEE_BREAK_CONCENTRATION	StatusData	%%% EMPTY			
FLY	StatusData	Flight	Can &lt;LSTag Type="Spell" Tooltip="Projectile_Fly"&gt;Fly&lt;/LSTag&gt; to a target position.	Полет	Может &lt;LSTag Type="Spell" Tooltip="Projectile_Fly"&gt;перелететь&lt;/LSTag&gt; в указанное место.
FOOD	StatusData	%%% EMPTY			
FOOD_BAD	StatusData	%%% EMPTY			
FOOD_TREACLETART_SPOILED	StatusData	Treacly Tummy	&lt;LSTag Tooltip="Disadvantage"&gt;Disadvantage&lt;/LSTag&gt; on Wisdom and Intelligence &lt;LSTag Tooltip="AbilityCheck"&gt;Checks&lt;/LSTag&gt;.	Приторный живот	&lt;LSTag Tooltip="Disadvantage"&gt;Помеха&lt;/LSTag&gt; при &lt;LSTag Tooltip="AbilityCheck"&gt;проверках&lt;/LSTag&gt; мудрости и интеллекта.
FORCE_KNOCKED_OUT_PERMANENTLY	StatusData	%%% Empty	%%% %%% Technical status to force a character to get knocked out permanently when knocked out, even if they were only temporarily hostile to the players, or even allied		
FORMATIONTACTICS	StatusData	Formation Tactics	&lt;LSTag Tooltip="Advantage"&gt;Advantage&lt;/LSTag&gt; on &lt;LSTag Tooltip="SavingThrow"&gt;Saving Throws&lt;/LSTag&gt; against being Charmed, Frightened, Grappled, or Restrained while within [1] of at least one ally.	Тактика построения	&lt;LSTag Tooltip="Advantage"&gt;Преимущество&lt;/LSTag&gt; при &lt;LSTag Tooltip="SavingThrow"&gt;испытаниях&lt;/LSTag&gt; против обворожения, испуга, захвата или обездвиживания, когда в пределах [1] есть хотя бы один союзник.
FORMATIONTACTICS_AURA	StatusData	%%% |Formation Tactics Aura|	Applies Formation Tactics.		Применяет тактику построения.
FOR_DANGEROUSBOOK_BOUNDTO	StatusData	Twisted Binding	A powerful eldritch bond connects this relic and its owner.	Извращённая связь	Реликвию и её владельца соединяет могучая потусторонняя связь.
FOR_OGRE_ENRAGE	StatusData	Buthir's Wrath	Buthir is enraged! &lt;LSTag Tooltip="Strength"&gt;Strength&lt;/LSTag&gt; increased by 4, &lt;LSTag Tooltip="ArmourClass"&gt;Armour Class&lt;/LSTag&gt; reduced by 2.	Гнев Бутхир	Бутхир в ярости! &lt;LSTag Tooltip="Strength"&gt;Сила&lt;/LSTag&gt; увеличивается на 4, а &lt;LSTag Tooltip="ArmourClass"&gt;КБ&lt;/LSTag&gt; снижается на 2.
FOR_OWLBEAR_EGG	StatusData	Eggbearer	Carries an owlbear's egg. Its scent will attract the egg's mother.	Яйценосец	Несет яйцо медвесыча. Его запах привлечет мамашу.
FOR_OWLBEAR_ENRAGE	StatusData	Owlbear's Rage	The owlbear is enraged! &lt;LSTag Tooltip="Strength"&gt;Strength&lt;/LSTag&gt; increased by 2.	Ярость медвесыча	Медвесыч в ярости! Его &lt;LSTag Tooltip="Strength"&gt;сила&lt;/LSTag&gt; увеличивается на 2.
FOR_OWLBEAR_INJURY	StatusData	Distressed	The owlbear has sustained damage to its eye. It cannot make &lt;LSTag Tooltip="CriticalHit"&gt;Critical Hit&lt;/LSTag&gt; and has &lt;LSTag Tooltip="Disadvantage"&gt;Disadvantage&lt;/LSTag&gt; on Perception &lt;LSTag Tooltip="AbilityCheck"&gt;Checks&lt;/LSTag&gt;.	Страдает	У медвесыча повреждены глаза. Он не может проводить &lt;LSTag Tooltip="CriticalHit"&gt;критические удары&lt;/LSTag&gt; и имеет &lt;LSTag Tooltip="Disadvantage"&gt;помеху&lt;/LSTag&gt; при &lt;LSTag Tooltip="AbilityCheck"&gt;проверках&lt;/LSTag&gt; внимания.
FOR_SELUNESTASH_CHESTSEAL	StatusData	Selûne's Seal	A protective shield surrounds the chest, dealing [1] to any heretics that touch it.	Печать Селунэ	Сундук окружен магическим щитом, наносящим [1] любому еретику, который прикоснется к нему.
FOR_SPIDEREGGHATCH	StatusData	%%% EMPTY	Creature carries a spider egg. It's likely to hatch soon.	ПУСТО	Существо несет яйцо паука. Вероятно, из него скоро вылупится детеныш.
FOR_SPIDEREGGHATCH_COOLDOWN	StatusData	%%% EMPTY		ПУСТО	
FOR_SPIDERQUEEN_ENRAGE	StatusData	Spider Queen's Wrath	Creature is enraged! Gained an additional attack per turn. &lt;LSTag Tooltip="Strength"&gt;Strength&lt;/LSTag&gt; increased by 2, &lt;LSTag Tooltip="ArmourClass"&gt;Armour Class&lt;/LSTag&gt; reduced by 1.	Гнев Паучьей королевы	Существо в ярости! Оно получает дополнительную атаку за ход, его &lt;LSTag Tooltip="Strength"&gt;сила&lt;/LSTag&gt; увеличивается на 2, а &lt;LSTag Tooltip="ArmourClass"&gt;КБ&lt;/LSTag&gt; снижается на 1.
FOR_THAYANCELLAR_TRAPFUEL	StatusData	Sphere Fuel	This magical device appears to be fuelled by liquid fire - and it's leaking.	Топливо сферы	Это волшебное устройство, похоже, заправлено жидким огнем... и протекает.
FOR_THAYAN_UNDEAD_SLUMBER	StatusData	%%% EMPTY			
FOR_TIEDTOWINDMILL	StatusData	Tied Up	Tied to a windmill and unable to move.	Путы	Привязан к ветряку и не может двигаться.
FOXS_CUNNING	StatusData	Fox's Cunning	Has &lt;LSTag Tooltip="Advantage"&gt;Advantage&lt;/LSTag&gt; on Intelligence &lt;LSTag Tooltip="AbilityCheck"&gt;Checks&lt;/LSTag&gt;.	Лисья хитрость	Получает &lt;LSTag Tooltip="Advantage"&gt;преимущество&lt;/LSTag&gt; при &lt;LSTag Tooltip="AbilityCheck"&gt;проверках&lt;/LSTag&gt; интеллекта.
FRIENDS	StatusData	Friends	Has &lt;LSTag Tooltip="Advantage"&gt;Advantage&lt;/LSTag&gt; on Charisma &lt;LSTag Tooltip="AbilityCheck"&gt;Checks&lt;/LSTag&gt; directed at the target creature.	Дружба	Получает &lt;LSTag Tooltip="Advantage"&gt;преимущество&lt;/LSTag&gt; при &lt;LSTag Tooltip="AbilityCheck"&gt;проверках&lt;/LSTag&gt; харизмы против цели.
FRIGHTENED	StatusData	Frightened	Cannot move. Frightened entities also have &lt;LSTag Tooltip="Disadvantage"&gt;Disadvantage&lt;/LSTag&gt; on &lt;LSTag Tooltip="AbilityCheck"&gt;Ability Checks&lt;/LSTag&gt; and &lt;LSTag Tooltip="AttackRoll"&gt;Attack Rolls&lt;/LSTag&gt;.	Испуг	Не может двигаться. Испуганные существа также получают &lt;LSTag Tooltip="Disadvantage"&gt;помеху&lt;/LSTag&gt; при &lt;LSTag Tooltip="AbilityCheck"&gt;проверках&lt;/LSTag&gt; и &lt;LSTag Tooltip="AttackRoll"&gt;бросках атаки&lt;/LSTag&gt;.
FROG_BUFOTOXIN	StatusData	Bufotoxin	Has &lt;LSTag Tooltip="Disadvantage"&gt;Disadvantage&lt;/LSTag&gt; on Dexterity &lt;LSTag Tooltip="SavingThrow"&gt;Saving Throws&lt;/LSTag&gt;.	Буфотоксин	&lt;LSTag Tooltip="Disadvantage"&gt;Помеха&lt;/LSTag&gt; при &lt;LSTag Tooltip="SavingThrow"&gt;испытаниях&lt;/LSTag&gt; ловкости.
FROG_REFLECTIVEMUCUS	StatusData	Reflective Mucus	&lt;LSTag Tooltip="ArmourClass"&gt;Armour Class&lt;/LSTag&gt; is increased by 2, and reflects the first projectile flying towards it back at the attacker, after which the mucus is removed.	Отражающая слизь	Дает бонус +2 к &lt;LSTag Tooltip="ArmourClass"&gt;классу брони&lt;/LSTag&gt;; кроме того, первый снаряд, летящий в существо, отражается в атакующего. После этого слизь испаряется.
FROZEN	StatusData	Frozen	Affected entity is utterly enamelled in ice and is &lt;LSTag Type="Status" Tooltip="INCAPACITATED"&gt;incapacitated&lt;/LSTag&gt;. If it is dealt Bludgeoning, Thunder, or Force damage, the ice shatters, ending the condition.	Заморозка	Существо полностью покрыто льдом и &lt;LSTag Type="Status" Tooltip="INCAPACITATED"&gt;вышло из строя&lt;/LSTag&gt;. Лед разбивается и состояние снимается, если по существу будет нанесен дробящий урон, урон громом или силовой урон.
FULL_SWING	StatusData	Prepared	Deals an additional [1] with melee attacks.	Наготове	Атаки в ближнем бою наносят дополнительно [1].
FUNGAL_ZOMBIE	StatusData	%%% EMPTY			
GAPING_WOUND	StatusData	Gaping Wounds	Attacks against this creature deal an additional [1]. Removed by healing.	Глубокие раны	Атака против этого существа наносит дополнительно [1]. Снимается исцелением.
GASEOUS_FORM	StatusData	Gaseous Form	Transformed into a cloud of mist.&lt;br&gt;&lt;br&gt;&lt;LSTag Tooltip="Resistant"&gt;Resistant&lt;/LSTag&gt; to all non-magical damage, has &lt;LSTag Tooltip="Advantage"&gt;Advantage&lt;/LSTag&gt; on Constitution, Dexterity and Strength &lt;LSTag Tooltip="SavingThrow"&gt;Saving Throws&lt;/LSTag&gt;, and is tiny in size.&lt;br&gt;&lt;br&gt;Can't attack, cast spells, or talk. 	Газообразность	Персонаж превратился в туманное облако.&lt;br&gt;&lt;br&gt;Имеет &lt;LSTag Tooltip="Resistant"&gt;устойчивость&lt;/LSTag&gt; ко всем видам урона, &lt;LSTag Tooltip="Advantage"&gt;преимущество&lt;/LSTag&gt; при &lt;LSTag Tooltip="SavingThrow"&gt;испытаниях&lt;/LSTag&gt; силы, ловкости и выносливости и крохотные размеры.&lt;br&gt;&lt;br&gt;Не может атаковать, произносить заклинания и разговаривать. 
GB_FUGITIVE	StatusData	Fugitive	Recently escaped from prison. Guards will arrest this character on sight.	Беглец	Персонаж бежал из тюрьмы. Стражники арестуют его на месте.
GB_GUARDKILLER	StatusData	Enemy of Justice	Wanted for killing a guard. Allied guards will attack on sight.	Враг правосудия	Разыскивается за убийство стражника. Союзные стражники сразу атакуют.
GB_GUARDKILLER_WITNESS	StatusData	Witness	Witnessed the murder of a guard and will report to other guards as soon as possible.	Свидетель	Став свидетелем убийства стражника, сообщит другим стражникам при первой возможности.
GENERIC	StatusData	%%% EMPTY			
GENERICS	StatusData	%%% EMPTY			
GEN_INVENTORYBOUND	StatusData	%%% EMPTY			
GLOWING	StatusData	%%% EMPTY			
GLO_BLACKPOWDERKEG	StatusData	Death Wish	Creature carries a powder keg. It could explode at any moment.	Желание смерти	Существо несет пороховую бочку. Она может взорваться в любой момент.
GLO_CAPTUREDINFLASK	StatusData	Flask Friend	Creature is contained within an iron flask. Upon release, the creature is friendly to you and your companions for 1 hour and obeys your commands for that duration.	Друг из пробирки	Существо заключено в железном флаконе. После освобождения существо дружелюбно относится к вам и вашим спутникам в течение 1 часа и в это время подчиняется всем вашим командам.
GLO_CURSEDIRONFLASK_GLOW	StatusData	Glowing Flask	The flask radiates a curious energy.	Сияющий флакон	От флакона исходит любопытная энергия.
GLO_DANGEROUSBOOK_MADNESS	StatusData	Whispers of Madness	Dark whispers pervade the creature's mind. &lt;LSTag Tooltip="Disadvantage"&gt;Disadvantage&lt;/LSTag&gt; on Wisdom &lt;LSTag Tooltip="AbilityCheck"&gt;Checks&lt;/LSTag&gt;.	Шепот безумия	Темные мысли проникают в разум существа. Накладывает &lt;LSTag Tooltip="Disadvantage"&gt;помеху&lt;/LSTag&gt; при &lt;LSTag Tooltip="AbilityCheck"&gt;проверках&lt;/LSTag&gt; мудрости.
GLO_DANGEROUSBOOK_MAJORMADNESS	StatusData	Baleful Knowledge		Вредоносное знание	
GLO_INFERNALBOX_BOUNDEDTO	StatusData	Bound	This relic is bound to its current owner by a powerful aura.	Связь	Могущественная аура связывает эту реликвию с ее текущим владельцем.
GLO_LURINGSONG_TIMER	StatusData	%%% EMPTY			
GLO_MIMIC_WAKING	StatusData	%%% EMPTY			
GLO_MINDFLAYER_TRANSFORMATION	StatusData	Ceremorphosis	Infected with a mind flayer parasite. Transformation will soon be complete.	Цереморфоз	В голове личинка иллитида. Трансформация вскоре завершится.
GLO_OATHBREAKERKNIGHT_GLOWING_EYES_VFX	StatusData	%%% EMPTY			
GLO_ORPHEUS_PROTECTED	StatusData	Shielded	Shielded from the Voice of the Absolute.	Защита	Персонаж защищен от голоса Абсолют.
GNOLL_AURABLOODTHIRST	StatusData	Bloodthirst	Gains Bite as a bonus action.	Кровожадность	Получает укус в качестве бонусного действия.
GNOLL_AURABLOODTHIRST_AURA	StatusData	Aura of Bloodthirst	Any nearby creatures with the Rampage trait can make a bite attack as a bonus action.	Аура: кровожадность	Все находящиеся рядом существа, обладающие чертой "Буйство", могут в качестве бонусного действия кусаться.
GNOLL_BREWING_RAGE	StatusData	Seething Fury	Rage brews within the gnoll. Once it gives in to its fury, it'll be able to attack multiple times per turn.	Клокочущая ярость	Внутри гнолла разгорается ярость. Когда она прорвется, он сможет атаковать несколько раз за ход.
GNOLL_BREWING_RAGE_TECHNICAL	StatusData	Festering Frenzy	This gnoll will become &lt;LSTag Type="Status" Tooltip="GNOLL_BREWING_RAGE_UNLOCK"&gt;Frenzied&lt;/LSTag&gt; at the start of his next turn.	Гноящееся бешенство	Этот гнолл впадет в &lt;LSTag Type="Status" Tooltip="GNOLL_BREWING_RAGE_UNLOCK"&gt;бешенство&lt;/LSTag&gt; в начале своего следующего хода.
GNOLL_BREWING_RAGE_UNLOCK	StatusData	Frenzied Fury	Overwhelmed with rage, the gnoll can attack three times per turn.	Бешеная ярость	Разъяренный гнолл будет атаковать трижды за один ход.
GNOLL_CURSE	StatusData	Soulnumbed	Can't take bonus actions or reactions.	Онемение души	Не может совершать бонусные действия и ответные действия.
GNOLL_PACKTACTICS	StatusData	Pack Tactics	Has &lt;LSTag Tooltip="Advantage"&gt;Advantage&lt;/LSTag&gt; on &lt;LSTag Tooltip="AttackRoll"&gt;Attack Rolls&lt;/LSTag&gt; if one of its allies is within [1] of its target and isn't Incapacitated.	Тактика стаи	Существо имеет &lt;LSTag Tooltip="Advantage"&gt;преимущество&lt;/LSTag&gt; при &lt;LSTag Tooltip="AttackRoll"&gt;бросках атаки&lt;/LSTag&gt;, если в пределах [1] от цели находится не выведенный из строя союзник.
GNOLL_PACKTACTICS_AURA	StatusData	Pack Tactics Aura	Grants its allies &lt;LSTag Tooltip="Advantage"&gt;Advantage&lt;/LSTag&gt; on &lt;LSTag Tooltip="AttackRoll"&gt;Attack Rolls&lt;/LSTag&gt; when they attack a target within [1] of another ally.	Аура: тактика стаи	Дает союзникам &lt;LSTag Tooltip="Advantage"&gt;преимущество&lt;/LSTag&gt; при &lt;LSTag Tooltip="AttackRoll"&gt;бросках атаки&lt;/LSTag&gt; против цели, если та находится в пределах [1] от другого союзника.
GNOLL_RAMPAGE	StatusData	Rampage	When a gnoll Downs a creature with a melee attack on its turn, it regains 1 bonus action and half of its &lt;LSTag Tooltip="MovementSpeed"&gt;movement speed&lt;/LSTag&gt;.	Буйство	Когда гнолл накладывает на существо эффект "При смерти" атакой ближнего боя в свой ход, он восстанавливает 1 бонусное действие и половину своей &lt;LSTag Tooltip="MovementSpeed"&gt;скорости движения&lt;/LSTag&gt;.
GNOLL_SUDDENRUSH	StatusData	Sudden Rush	&lt;LSTag Tooltip="MovementSpeed"&gt;Movement speed&lt;/LSTag&gt; is increased by [1] and moving doesn't provoke &lt;LSTag Tooltip="OpportunityAttack"&gt;Opportunity Attacks&lt;/LSTag&gt;.	Внезапный рывок	&lt;LSTag Tooltip="MovementSpeed"&gt;Скорость перемещения&lt;/LSTag&gt; увеличивается на [1], а сами перемещения не провоцируют &lt;LSTag Tooltip="OpportunityAttack"&gt;внеочередные атаки&lt;/LSTag&gt;.
GOBLINWARCRY	StatusData	Reckless Warcry	&lt;LSTag Tooltip="Strength"&gt;Strength&lt;/LSTag&gt; is increased by 3, while &lt;LSTag Tooltip="ArmourClass"&gt;Armour Class&lt;/LSTag&gt; is decreased by 1.	Безрассудный боевой клич	&lt;LSTag Tooltip="Strength"&gt;Сила&lt;/LSTag&gt; существа увеличена на 3, а &lt;LSTag Tooltip="ArmourClass"&gt;КБ&lt;/LSTag&gt; при этом снижен на 1.
GOB_CALMNESS_IN_PAIN	StatusData	Loviatar's Love	Pain is the path to clarity. When you have 30% &lt;LSTag Tooltip="HitPoints"&gt;hit points&lt;/LSTag&gt; or less, you gain a +2 bonus to &lt;LSTag Tooltip="AttackRoll"&gt;Attack Rolls&lt;/LSTag&gt; and Wisdom &lt;LSTag Tooltip="SavingThrow"&gt;Saving Throws&lt;/LSTag&gt;.	Милость Ловиатар	Боль – это путь к просветлению. Если у вас остается 30% &lt;LSTag Tooltip="HitPoints"&gt;ОЗ&lt;/LSTag&gt; или менее, вы получаете бонус +2 к &lt;LSTag Tooltip="AttackRoll"&gt;броскам атаки&lt;/LSTag&gt; и &lt;LSTag Tooltip="SavingThrow"&gt;испытаниям&lt;/LSTag&gt; мудрости.
GOB_CALMNESS_IN_PAIN_ACTIVE	StatusData	Basking in Loviatar's Love	You revel in the clarity granted by your pain. You have a +2 bonus to &lt;LSTag Tooltip="AttackRoll"&gt;Attack Rolls&lt;/LSTag&gt; and Wisdom &lt;LSTag Tooltip="SavingThrow"&gt;Saving Throws&lt;/LSTag&gt; for 3 turns.	Благосклонность Ловиатар	Вы наслаждаетесь просветлением, дарованным вам болью. Вы на 3 хода получаете бонус +2 к &lt;LSTag Tooltip="AttackRoll"&gt;броскам атаки&lt;/LSTag&gt; и &lt;LSTag Tooltip="SavingThrow"&gt;испытаниям&lt;/LSTag&gt; мудрости.
GOB_CHICKENCHASE	StatusData	Chicken Chaser	Engrossed in a game of Chicken Chase.	Курогонство	Все внимание направлено на куриные гонки.
GOB_DROWCOM_BUFF	StatusData	Soul Branding	Creature's &lt;LSTag Tooltip="MovementSpeed"&gt;movement speed&lt;/LSTag&gt; is increased by [1], and its next weapon attack deals an additional [2]. This condition ends upon landing a successful weapon attack.	Клеймо души	&lt;LSTag Tooltip="MovementSpeed"&gt;Скорость перемещения&lt;/LSTag&gt; существа увеличивается на [1], а его следующая атака оружием дополнительно наносит [2]. Это состояние заканчивается после проведения успешной атаки оружием.
GOB_FESTIVITIES_DRUNK	StatusData	Slightly Drunk	Just drunk enough for everyone to notice. &lt;LSTag Tooltip="Strength"&gt;Strength&lt;/LSTag&gt; increased by 2, &lt;LSTag Tooltip="Disadvantage"&gt;Disadvantage&lt;/LSTag&gt; on Charisma and Dexterity &lt;LSTag Tooltip="AbilityCheck"&gt;Checks&lt;/LSTag&gt;.	Легкое опьянение	Вы пьяны ровно настолько, чтобы это заметили все остальные. &lt;LSTag Tooltip="Strength"&gt;Сила&lt;/LSTag&gt; увеличивается на 2. &lt;LSTag Tooltip="Disadvantage"&gt;Помеха&lt;/LSTag&gt; при &lt;LSTag Tooltip="AbilityCheck"&gt;проверках&lt;/LSTag&gt; харизмы и ловкости.
GOB_GOBLINPRIEST_CHAINS	StatusData	Shackled	Chained to the ground with iron shackles.	В кандалах	Персонаж прикован к земле железными кандалами.
GOB_LOSTBALANCE	StatusData	Off Balance	When hit, must succeed a Strength &lt;LSTag Tooltip="SavingThrow"&gt;Saving Throw&lt;/LSTag&gt; or fall Prone.	Потеря равновесия	При попадании по вам необходимо успешно пройти &lt;LSTag Tooltip="SavingThrow"&gt;испытание&lt;/LSTag&gt; силы &lt;LSTag Tooltip="DifficultyClass"&gt;КС&lt;/LSTag&gt; 8 или упасть плашмя.
GOB_OGRE_ENRAGE	StatusData	Polma's Wrath	Polma is enraged! &lt;LSTag Tooltip="Strength"&gt;Strength&lt;/LSTag&gt; increased by 4, &lt;LSTag Tooltip="ArmourClass"&gt;Armour Class&lt;/LSTag&gt; reduced by 2.	Гнев Полмы	Полма в ярости! &lt;LSTag Tooltip="Strength"&gt;Сила&lt;/LSTag&gt; увеличивается на 4, а &lt;LSTag Tooltip="ArmourClass"&gt;КБ&lt;/LSTag&gt; снижается на 2.
GOB_PAIN_PRIEST_DAGGER_BLESS	StatusData	The Pain Maiden's Blessing		Благословение Девы Боли	
GOB_PENITENT	StatusData	Ardent Apostle	Offering their cries of pain without protection. Has a +4 bonus to Performance and Intimidation &lt;LSTag Tooltip="AbilityCheck"&gt;Checks&lt;/LSTag&gt;.	Ярый приверженец	Существо дарует свою боль без защиты. Оно получает бонус +4 к &lt;LSTag Tooltip="AbilityCheck"&gt;проверкам&lt;/LSTag&gt; исполнения и запугивания.
GOB_PRIESTESS_ABSOLUTEWORD_APPLY	StatusData	%%% EMPTY			
